Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C2, C20, C21, C24, C3, C4, C5, C8",0603,10,100n,C14663
"C10, C11",0805,2,22u,C45783
"C12, C13, C15, C17, C9",0603,5,10u,C19702
"C14, C16",0603,2,330p,C1664
C19,0603,1,2.2n,C1604
"C22, C23",CP_Elec_6.3x5.4,2,47u,C2836440
C6,0603,1,30p,C1658
C7,0603,1,30p,C1648
"D1, D2, D3, D4, D5",D_SOD-323,5,1N5819WS,C191023
D6,0603,1,RED,C2286
J1,PinHeader_1x04_P2.54mm_Vertical,1,ICSP,C6332197
J2,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,C132560
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,C5280493
"J4, J5",TerminalBlock_bornier-2_P5.08mm,2,ENCODER,C474906
J6,TerminalBlock_bornier-2_P5.08mm,1,MOT 1,C474906
J7,TerminalBlock_bornier-2_P5.08mm,1,MOT 2,C474906
"L1, L2",1008,2,10u,C602018
"R1, R3, R4, R5, R8",0603,5,10k,C25804
"R10, R9",1206,2,100m,C25334
"R11, R15, R16, R17",0603,4,1.5k,C22843
"R2, R7",0603,2,82k,C23254
R6,0603,1,27k,C22967
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
"U2, U4",SOT-23-5,2,LMR62014XMF,C55182
U3,SOT-223-3_TabPin2,1,AMS1117-3.3, C6186
U5,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
"U6, U7",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,DRV8870DDA,C86590
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
