Designator,Mid X,Mid Y,Rotation,Layer
C1,133.838,-105.664,180.0,top
C10,145.476,-112.014,0.0,top
C11,131.318,-115.636,90.0,top
C12,160.462,-114.808,270.0,top
C13,171.766,-119.888,90.0,top
C14,163.817,-120.904,180.0,top
C15,161.036,-127.22,90.0,top
C16,153.861,-123.215,180.0,top
C17,157.239,-119.321,0.0,top
C18,155.988,-114.3,0.0,top
C19,158.528,-106.921,270.0,top
C2,132.588,-102.616,270.0,top
C20,158.528,-110.985,90.0,top
C21,159.004,-94.488,180.0,top
C22,169.164,-96.012,180.0,top
C23,169.164,-108.712,180.0,top
C24,159.065,-103.124,180.0,top
C3,144.526,-91.44,90.0,top
C4,133.35,-91.44,180.0,top
C5,145.796,-103.632,0.0,top
C6,137.16,-109.728,180.0,top
C7,141.224,-109.728,0.0,top
C8,144.018,-106.426,270.0,top
C9,133.35,-93.472,180.0,top
D1,145.44,-115.316,0.0,top
D2,144.272,-118.872,270.0,top
D3,161.036,-123.664,270.0,top
D4,166.398,-114.046,0.0,top
D5,147.32,-118.872,270.0,top
D6,126.492,-115.507,90.0,top
J1,124.46,-107.94,0.0,top
J2,123.78,-96.49,270.0,top
J3,182.774,-118.73,90.0,top
J4,133.604,-126.492,0.0,top
J5,145.542,-126.492,0.0,top
J6,185.42,-93.98,90.0,top
J7,185.42,-106.172,90.0,top
L1,170.496,-114.808,180.0,top
L2,164.592,-127.0,90.0,top
R1,132.588,-99.06,90.0,top
R10,169.164,-102.108,0.0,top
R11,139.192,-90.424,0.0,top
R15,128.778,-115.507,270.0,top
R16,147.066,-91.44,90.0,top
R17,149.606,-91.44,90.0,top
R2,163.817,-118.364,180.0,top
R3,168.656,-123.444,0.0,top
R4,164.783,-123.444,180.0,top
R5,153.861,-128.295,0.0,top
R6,153.861,-125.755,0.0,top
R7,157.163,-122.14,180.0,top
R8,151.924,-114.3,0.0,top
R9,169.164,-89.916,0.0,top
U1,139.7,-97.536,0.0,top
U2,168.656,-119.38,90.0,top
U3,137.82,-115.316,0.0,top
U4,157.546,-126.5905,90.0,top
U5,153.682,-109.302,0.0,top
U6,157.876,-90.2,0.0,top
U7,157.907,-98.679,0.0,top
Y1,139.192,-106.172,180.0,top
